source_path,file_name,label,source_kind,char_count,word_count,token_count,unique_token_count,sentence_count
cac_khoa/khoa_cong_nghe_co_khi/dao_tao/dai_hoc/cong_nghe_che_tao_may.txt,cong_nghe_che_tao_may.txt,cac_khoa,text_file,2434.0,528.0,434.0,111.0,25.0
cac_khoa/khoa_cong_nghe_co_khi/dao_tao/dai_hoc/cong_nghe_ky_thuat_co_khi.txt,cong_nghe_ky_thuat_co_khi.txt,cac_khoa,text_file,2415.0,529.0,411.0,102.0,25.0
cac_khoa/khoa_cong_nghe_co_khi/dao_tao/sau_dai_hoc/thac_si_ky_thuat_co_khi.txt,thac_si_ky_thuat_co_khi.txt,cac_khoa,text_file,1933.0,431.0,314.0,132.0,23.0
cac_khoa/khoa_cong_nghe_co_khi/gioi_thieu/ban_lanh_dao.txt,ban_lanh_dao.txt,cac_khoa,text_file,476.0,92.0,78.0,40.0,15.0
cac_khoa/khoa_cong_nghe_co_khi/gioi_thieu/co_so_vat_chat.txt,co_so_vat_chat.txt,cac_khoa,text_file,733.0,159.0,113.0,67.0,5.0
cac_khoa/khoa_cong_nghe_co_khi/gioi_thieu/doi_ngu_giang_vien_va_nhan_vien.txt,doi_ngu_giang_vien_va_nhan_vien.txt,cac_khoa,text_file,7632.0,1569.0,1387.0,399.0,190.0
cac_khoa/khoa_cong_nghe_co_khi/gioi_thieu/gioi_thieu.txt,gioi_thieu.txt,cac_khoa,text_file,1358.0,294.0,237.0,105.0,22.0
cac_khoa/khoa_cong_nghe_co_khi/gioi_thieu/so_do_to_chuc.txt,so_do_to_chuc.txt,cac_khoa,text_file,155.0,36.0,30.0,18.0,3.0
cac_khoa/khoa_cong_nghe_co_khi/gioi_thieu/tam_nhin_su_menh_muc_tieu.txt,tam_nhin_su_menh_muc_tieu.txt,cac_khoa,text_file,1488.0,314.0,246.0,111.0,11.0
cac_khoa/khoa_cong_nghe_co_khi/gioi_thieu/thong_tin_hoat_dong_thanh_tich.txt,thong_tin_hoat_dong_thanh_tich.txt,cac_khoa,text_file,1740.0,374.0,276.0,126.0,9.0
cac_khoa/khoa_cong_nghe_dien/dao_tao/dai_hoc/cong_nghe_ky_thuat_dien.txt,cong_nghe_ky_thuat_dien.txt,cac_khoa,text_file,2564.0,537.0,421.0,179.0,24.0
cac_khoa/khoa_cong_nghe_dien/dao_tao/dai_hoc/cong_nghe_ky_thuat_dieu_khien_va_tu_dong_hoa.txt,cong_nghe_ky_thuat_dieu_khien_va_tu_dong_hoa.txt,cac_khoa,text_file,2900.0,607.0,469.0,185.0,25.0
cac_khoa/khoa_cong_nghe_dien/dao_tao/dai_hoc/cong_nghe_nang_luong_tai_tao.txt,cong_nghe_nang_luong_tai_tao.txt,cac_khoa,text_file,2872.0,593.0,455.0,187.0,24.0
cac_khoa/khoa_cong_nghe_dien/dao_tao/sau_dai_hoc/thac_si_ky_thuat_dien_nghien_cuu.txt,thac_si_ky_thuat_dien_nghien_cuu.txt,cac_khoa,text_file,2197.0,456.0,374.0,153.0,15.0
cac_khoa/khoa_cong_nghe_dien/dao_tao/sau_dai_hoc/thac_si_ky_thuat_dien_ung_dung.txt,thac_si_ky_thuat_dien_ung_dung.txt,cac_khoa,text_file,2030.0,423.0,347.0,148.0,15.0
cac_khoa/khoa_cong_nghe_dien/dao_tao/sau_dai_hoc/tien_si_ky_thuat_dien.txt,tien_si_ky_thuat_dien.txt,cac_khoa,text_file,1457.0,308.0,248.0,101.0,10.0
cac_khoa/khoa_cong_nghe_dien/gioi_thieu/ban_lanh_dao.txt,ban_lanh_dao.txt,cac_khoa,text_file,420.0,76.0,66.0,30.0,13.0
cac_khoa/khoa_cong_nghe_dien/gioi_thieu/co_so_vat_chat.txt,co_so_vat_chat.txt,cac_khoa,text_file,943.0,194.0,150.0,71.0,11.0
